year,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
1959,15.219,15.325,15.43,15.179,15.164,15.303,15.271,15.189,15.227,15.412,15.402,15.365
1960,15.502,15.579,15.662,15.437,15.421,15.553,15.525,15.446,15.518,15.659,15.606,15.588
1961,15.661,15.724,15.746,15.679,15.665,15.711,15.677,15.67,15.67,15.742,15.741,15.742
1962,15.857,15.891,15.958,15.818,15.776,15.868,15.877,15.839,15.867,15.964,15.953,15.969
1963,16,16.115,16.19,16.014,15.997,16.093,16.061,16.001,16.026,16.166,16.143,16.112
1964,16.269,16.327,16.409,16.247,16.224,16.315,16.294,16.257,16.271,16.385,16.362,16.352
1965,16.481,16.582,16.683,16.434,16.427,16.578,16.566,16.455,16.518,16.623,16.595,16.59
1966,16.871,17.032,17.192,16.772,16.703,16.967,16.934,16.813,16.892,17.156,17.131,17.086
1967,17.251,17.452,17.64,17.213,17.193,17.398,17.339,17.222,17.284,17.612,17.554,17.505
1968,17.908,18.161,18.404,17.794,17.722,18.087,18.032,17.852,17.974,18.366,18.304,18.224
1969,18.692,18.993,19.308,18.523,18.476,18.941,18.858,18.61,18.767,19.22,19.137,19.072
1970,19.601,19.838,20.194,19.454,19.377,19.786,19.714,19.502,19.663,20.105,20.026,19.927
1971,20.443,20.741,20.929,20.296,20.237,20.681,20.619,20.363,20.528,20.847,20.804,20.772
1972,21.16,21.377,21.63,21.098,21.015,21.315,21.239,21.128,21.207,21.561,21.497,21.473
1973,22.127,22.703,23.3,21.809,21.695,22.444,22.363,21.964,22.236,23.11,22.922,22.793
1974,24.243,25.132,25.971,23.797,23.523,24.872,24.69,24.073,24.482,25.767,25.575,25.393
1975,26.452,27.07,27.69,26.274,26.132,26.953,26.724,26.363,26.558,27.538,27.362,27.204
1976,27.936,28.491,29.094,27.831,27.795,28.335,28.192,27.873,28.069,28.932,28.801,28.651
1977,29.812,30.428,31.011,29.492,29.263,30.287,30.131,29.64,29.963,30.861,30.685,30.543
1978,31.781,32.557,33.345,31.339,31.194,32.393,32.217,31.542,32.008,33.19,33.003,32.742
1979,34.395,35.575,36.739,33.776,33.597,35.305,35.038,34.04,34.751,36.433,36.182,35.889
