,Line Number in ACF-196R,Line Number(s) in ACF-196,Column Name in Appended File,Type,Description
0,,,State,String,State that funding amounts pertain to
1,,,FiscalYear,Integer,Federal fiscal year (October - September) to which funds can be attributed
2,1,1,1. Awarded,Integer,The cumulative total of federal TANF funds awarded
3,2,2,2. Transfers to Child Care and Development Fund (CCDF) Discretionary,Integer,The total SFAG funds that the state transferred to the Discretionary Fund of the CCDF during the FFY
4,3,3,3. Transfers to Social Services Block Grant (SSBG),Integer,The total federal SFAG funds the state transferred to the SSBG during the FFY
5,4,4,4. Adjusted Award,Integer,The net total of funds available for TANF after subtracting the amounts transferred to the CCDF program (Line 2) and/or the SSBG program (Line 3).
6,5,Carryover,5. Carryover,Integer,"The sum of the Federal Unliquidated Obligations and Unobligated Balances for a GY award, as of the end of the previous FFY"
7,6,5a,6. Basic Assistance,Integer,The total expenditures from lines 6a.and 6b.
8,6a,,"6a. Basic Assistance (excluding Payments for Relative Foster Care, and Adoption and Guardianship Subsidies)",Integer,"Basic assistance is defined as cash, payments, vouchers, and other forms of benefits designed to meet a family’s ongoing basic needs (i.e., for food, clothing, shelter, utilities, household goods, personal care items, and general incidental expenses)"
9,6b,,6b. Relative Foster Care Maintenance Payments and Adoption and Guardianship Subsidies,Integer,Basic assistance provided on behalf of a child or children for whom the child welfare agency has legal placement and care responsibility and is living with a caretaker relative; or child or children living with legal guardians
10,7,5d,7. Assistance Authorized Solely Under Prior Law,Integer,"The total expenditures from lines 7a., 7b., and 7c"
11,7a,,7a. Foster Care Payments,Integer,"Foster care assistance on behalf of children, authorized solely under section 404(a)(2) of the Act and referenced in a state’s former AFDC or Emergency Assistance plan"
12,7b,,7b. Juvenile Justice Payments,Integer,"Assistance payments on behalf of children in the state’s juvenile justice system, authorized solely under section 404(a)(2) of the Act and referenced in a state’s former AFDC or Emergency Assistance plan"
13,7c,,7c. Emergency Assistance Authorized Solely Under Prior Law,Integer,Other benefits authorized solely under section 404(a)(2) of the Act and referenced in a state’s former AFDC or Emergency Assistance plan
14,8,6l,8. Non-Assistance Authorized Solely Under Prior Law,Integer,"The total expenditures from lines 8a., 8b., and 8c"
15,8a,,8a. Child Welfare or Foster Care Services,Integer,"Services provided to children and their families involved in the state’s child welfare system, authorized solely under section 404(a)(2) of the Act, and referenced in a state’s former AFDC or Emergency Assistance plan"
16,8b,,8b. Juvenile Justice Services,Integer,"Juvenile justice services provided to children, youth, and families, authorized solely under section 404(a)(2) of the Act, and referenced in a state’s former AFDC or Emergency Assistance plan"
17,8c,,8c. Emergency Services Authorized Solely Under Prior Law,Integer,"Other services, authorized solely under section 404(a)(2) of the Act, and referenced in a state’s former AFDC or Emergency Assistance plan"
18,9,6a,"9. Work, Education, and Training Activities",Integer,"The total expenditures from lines 9a., 9b., and 9c"
19,9a,6a1,9a. Subsidized Employment,Integer,"Payments to employers or third parties to help cover the costs of employee wages, benefits, supervision, or training"
20,9b,6a2,9b. Education and Training,Integer,"Education and training activities, including secondary education (including alternative programs); adult education, high school diploma-equivalent (such as GED) and ESL classes; education directly related to employment; job skills training; education provided as vocational educational training or career and technical education; and post-secondary education"
21,9c,6a3,9c. Additional Work Activities,Integer,Work activities that have not been reported in employment subsidies or education and training
22,10,"5c,6c",10. Work Supports,Integer,"Assistance and non-assistance transportation benefits, such as the value of allowances, bus tokens, car payments, auto repair, auto insurance reimbursement, and van services provided in order to help families obtain, retain, or advance in employment, participate in other work activities, or as a non-recurrent, short-term benefit"
23,11,,11. Early Care and Education,Integer,The total expenditures from lines 11a. and 11b
24,11a,"5b,6b",11a. Child Care (Assistance and Non-Assistance),Integer,"Child care expenditures for families that need child care to work, participate in work activities (such as job search, community service, education, or training), or for respite purposes"
25,11b,,11b. Pre-Kindergarten/Head Start,Integer,"Pre-kindergarten or kindergarten education programs (allowable if they do not meet the definition of a “general state expense”), expansion of Head Start programs, or other school readiness programs"
26,12,6d,12. Financial Education and Asset Developments,Integer,"Programs and initiatives designed to support the development and protection of assets including contributions to Individual Development Accounts (IDAs) and related operational costs (that fall outside the definition of administrative costs), financial education services, tax credit outreach campaigns and tax filing assistance programs, initiatives to support access to mainstream banking, and credit and debt management counseling"
27,13,6e,13. Refundable Earned Income Tax Credits,Integer,"Refundable portion of state or local earned income tax credits (EITC) paid to families and otherwise consistent with the requirements of 45 CFR Parts 260 and 263 of the TANF regulations. If the state is using an intercept to recoup a debt owed to the state, only the portion of the refundable EITC that is actually received by the family may be considered a federal TANF or MOE expenditure"
28,14,6f,14. Non-EITC Refundable State Tax Credits,Integer,"Refundable portion of other tax credits provided under state or local law that are consistent with the purposes of TANF and the requirements of 45 CFR Parts 260 and 263 of the TANF regulations (e.g., state refundable child care tax credit)"
29,15,6g,15. Non-Recurrent Short Term Benefits,Integer,"Short-term benefits to families in the form of cash, vouchers, subsidies, or similar form of payment to deal with a specific crisis situation or episode of need and excluded from the definition of assistance on that basis"
30,16,,16. Supportive Services,Integer,"Services such as domestic violence services, and health, mental health, substance abuse and disability services, housing counseling services, and other family supports"
